City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Verkhniy Avzyan,RU,53.5289,57.5372,55.24,89,83,3.42,broken clouds
306,Malaya Serdoba,RU,52.4661,44.9512,68.52,74,8,5.23,clear sky
307,Sorland,NO,67.667,12.6934,53.46,77,48,15.28,scattered clouds
308,San Mateo Ixtatan,GT,15.8319,-91.4781,57.67,81,97,5.37,overcast clouds
309,Sopelana,ES,43.3789,-2.9831,70.07,71,0,3.44,clear sky
310,Port Elizabeth,ZA,-33.918,25.5701,57.49,94,0,4.61,clear sky
311,Kachug,RU,53.9606,105.8817,53.26,97,100,2.84,overcast clouds
312,Acapulco,MX,16.8634,-99.8901,87.62,66,75,3.44,broken clouds
313,Ko Samui,TH,9.5357,99.9357,82.85,74,21,2.82,few clouds
314,Islamabad,PK,33.7104,73.1338,77.85,90,83,5.44,broken clouds
315,San Cristobal,VE,7.7669,-72.225,75.38,70,99,5.79,overcast clouds
316,Jiujiang,CN,29.7333,115.9833,74.82,93,99,0.63,overcast clouds
317,Saint-Leu,RE,-21.15,55.2833,68.32,75,65,1.95,broken clouds
318,Vestmannaeyjar,IS,63.4427,-20.2734,50.5,77,100,8.95,overcast clouds
319,Saint George,US,37.1041,-113.5841,97.63,34,0,12.66,clear sky
320,Kargasok,RU,59.0556,80.8572,61.7,71,92,10.65,overcast clouds
321,Aban,RU,56.67,96.06,55.4,96,97,5.59,overcast clouds
322,Bereda,ES,43.2686,-7.5406,65.57,97,12,2.1,few clouds
323,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,82,100,13.8,overcast clouds
324,Mitsamiouli,KM,-11.3847,43.2844,75.94,74,34,7.87,scattered clouds
325,Kushima,JP,31.4583,131.2333,78.91,92,59,10.02,broken clouds
326,Ishigaki,JP,24.3448,124.1572,82.53,89,20,5.75,few clouds
327,Mogok,MM,22.9167,96.5,66.74,88,90,1.95,overcast clouds
328,Marsabit,KE,2.3284,37.9899,64.83,61,73,17.98,broken clouds
329,La Seyne-Sur-Mer,FR,43.0982,5.8847,80.89,48,8,3.0,clear sky
330,Baragua,CU,21.6967,-78.6328,86.13,62,70,14.67,broken clouds
331,Hay River,CA,60.8156,-115.7999,62.58,88,100,2.3,light rain
332,Upernavik,GL,72.7868,-56.1549,43.27,69,100,5.3,overcast clouds
333,Ankazoabo,MG,-22.2833,44.5167,61.99,65,0,6.26,clear sky
334,Staryy Nadym,RU,65.6118,72.6842,59.83,68,34,0.96,scattered clouds
335,Huarmey,PE,-10.0681,-78.1522,67.82,71,20,12.17,few clouds
336,Henties Bay,NA,-22.116,14.2845,53.87,89,24,6.44,few clouds
337,Bago,MM,17.3367,96.4797,80.51,86,70,3.65,broken clouds
338,Labuan,MY,5.2767,115.2417,77.36,94,20,0.0,few clouds
339,Coroico,BO,-16.1889,-67.7271,75.54,41,87,5.03,overcast clouds
340,Beira,MZ,-19.8436,34.8389,69.89,56,20,5.75,few clouds
341,Hasaki,JP,35.7333,140.8333,77.29,90,79,10.94,broken clouds
342,Eirunepe,BR,-6.6603,-69.8736,91.15,44,65,1.34,broken clouds
343,Wyndham,US,37.6985,-77.6125,93.81,60,0,9.22,clear sky
